x,y,z
-40.000000,0.000000,0.080000
-39.000000,0.000000,0.080000
-38.000000,0.000000,0.080000
-37.000000,0.000000,0.080000
-36.000000,0.000000,0.080000
-35.000000,0.000000,0.080000
-34.000000,0.000000,0.080000
-33.000000,0.000000,0.080000
-32.000000,0.000000,0.080000
-31.000000,0.000000,0.080000
-30.000000,0.000000,0.080000
-29.000000,0.000000,0.080000
-28.000000,0.000000,0.080000
-27.000000,0.000000,0.080000
-26.000000,0.000000,0.080000
-25.000000,0.000000,0.080000
-24.000000,0.000000,0.080000
-23.000000,0.000000,0.080000
-22.000000,0.000000,0.080000
-21.000000,0.000000,0.080000
-20.000000,0.000000,0.080000
-19.000000,0.000000,0.080000
-18.000000,0.000000,0.080000
-17.000000,0.000000,0.080000
-16.000000,0.000000,0.080000
-15.000000,0.000000,0.080000
-14.000000,0.000000,0.080000
-13.000000,0.000000,0.080000
-12.000000,0.000000,0.080000
-11.000000,0.000000,0.080000
-10.000000,0.000000,0.080000
-9.000000,0.000000,0.080000
-8.000000,0.000000,0.080000
-7.000000,0.000000,0.080000
-6.000000,0.000000,0.080000
-5.000000,0.000000,0.080000
-4.000000,0.000000,0.080000
-3.000000,0.000000,0.080000
-2.000000,0.000000,0.080000
-1.000000,0.000000,0.080000
0.000000,0.000000,0.080000
0.349048,0.003046,0.080000
0.697990,0.012183,0.080000
1.046719,0.027409,0.080000
1.395129,0.048719,0.080000
1.743115,0.076106,0.080000
2.090569,0.109562,0.080000
2.437387,0.149077,0.080000
2.783462,0.194639,0.080000
3.128689,0.246233,0.080000
3.472964,0.303845,0.080000
3.816180,0.367456,0.080000
4.158234,0.437048,0.080000
4.499021,0.512599,0.080000
4.838438,0.594085,0.080000
5.176381,0.681483,0.080000
5.512747,0.774766,0.080000
5.847434,0.873905,0.080000
6.180340,0.978870,0.080000
6.511363,1.089628,0.080000
6.840403,1.206148,0.080000
7.167359,1.328391,0.080000
7.492132,1.456323,0.080000
7.814623,1.589903,0.080000
8.134733,1.729091,0.080000
8.452365,1.873844,0.080000
8.767423,2.024119,0.080000
9.079810,2.179870,0.080000
9.389431,2.341048,0.080000
9.696192,2.507606,0.080000
10.000000,2.679492,0.080000
10.300761,2.856654,0.080000
10.598385,3.039038,0.080000
10.892781,3.226589,0.080000
11.183858,3.419249,0.080000
11.471529,3.616959,0.080000
11.755705,3.819660,0.080000
12.036300,4.027290,0.080000
12.313230,4.239785,0.080000
12.586408,4.457081,0.080000
12.855752,4.679111,0.080000
13.121181,4.905808,0.080000
13.382612,5.137103,0.080000
13.639967,5.372926,0.080000
13.893167,5.613204,0.080000
14.142136,5.857864,0.080000
14.386796,6.106833,0.080000
14.627074,6.360033,0.080000
14.862897,6.617388,0.080000
15.094192,6.878819,0.080000
15.320889,7.144248,0.080000
15.542919,7.413592,0.080000
15.760215,7.686770,0.080000
15.972710,7.963700,0.080000
16.180340,8.244295,0.080000
16.383041,8.528471,0.080000
16.580751,8.816142,0.080000
16.773411,9.107219,0.080000
16.960962,9.401615,0.080000
17.143346,9.699239,0.080000
17.320508,10.000000,0.080000
17.492394,10.303808,0.080000
17.658952,10.610569,0.080000
17.820130,10.920190,0.080000
17.975881,11.232577,0.080000
18.126156,11.547635,0.080000
18.270909,11.865267,0.080000
18.410097,12.185377,0.080000
18.543677,12.507868,0.080000
18.671609,12.832641,0.080000
18.793852,13.159597,0.080000
18.910372,13.488637,0.080000
19.021130,13.819660,0.080000
19.126095,14.152566,0.080000
19.225234,14.487253,0.080000
19.318517,14.823619,0.080000
19.405915,15.161562,0.080000
19.487401,15.500979,0.080000
19.562952,15.841766,0.080000
19.632544,16.183820,0.080000
19.696155,16.527036,0.080000
19.753767,16.871311,0.080000
19.805361,17.216538,0.080000
19.850923,17.562613,0.080000
19.890438,17.909431,0.080000
19.923894,18.256885,0.080000
19.951281,18.604871,0.080000
19.972591,18.953281,0.080000
19.987817,19.302010,0.080000
19.996954,19.650952,0.080000
20.000000,20.000000,0.080000
20.000000,21.000000,0.080000
20.000000,22.000000,0.080000
20.000000,23.000000,0.080000
20.000000,24.000000,0.080000
20.000000,25.000000,0.080000
20.000000,26.000000,0.080000
20.000000,27.000000,0.080000
20.000000,28.000000,0.080000
20.000000,29.000000,0.080000
20.000000,30.000000,0.080000
20.000000,31.000000,0.080000
20.000000,32.000000,0.080000
20.000000,33.000000,0.080000
20.000000,34.000000,0.080000
20.000000,35.000000,0.080000
20.000000,36.000000,0.080000
20.000000,37.000000,0.080000
20.000000,38.000000,0.080000
20.000000,39.000000,0.080000
20.000000,40.000000,0.080000
20.000000,41.000000,0.080000
20.000000,42.000000,0.080000
20.000000,43.000000,0.080000
20.000000,44.000000,0.080000
20.000000,45.000000,0.080000
20.000000,46.000000,0.080000
20.000000,47.000000,0.080000
20.000000,48.000000,0.080000
20.000000,49.000000,0.080000
20.000000,50.000000,0.080000
20.000000,51.000000,0.080000
20.000000,52.000000,0.080000
20.000000,53.000000,0.080000
20.000000,54.000000,0.080000
20.000000,55.000000,0.080000
20.000000,56.000000,0.080000
20.000000,57.000000,0.080000
20.000000,58.000000,0.080000
20.000000,59.000000,0.080000
20.000000,60.000000,0.080000
